username,Past Action,Time,Review,lowercase,no_urls,no_html,no_emojis,slang_replaced,contractions_replaced,no_punctuation,no_numbers,spelling_corrected,no_stopwords,lemmatized,tokenized,processed_review
Deen Kim,Local Guide · 56 reviews · 56 photos,a year ago,Yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way. 100% would spill and wasted.,yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way. 100% would spill and wasted.,yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way. 100% would spill and wasted.,yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way. 100% would spill and wasted.,yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way. 100% would spill and wasted.,yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way. 100% would spill and wasted.,yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way. 100% would spill and wasted.,yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way 100 would spill and wasted,yea all good but i hope they make improvement towards take away packaging cuz its hard for the rider to bring it on the way  would spill and wasted,yea all good but i hope they make improvement towards take away packaging cup its hard for the rider to bring it on the way  would spill and wasted,yea good hope make improvement towards take away packaging cup hard rider bring way would spill wasted,yea good hope make improvement towards take away package cup hard rider bring way would spill waste,"['yea', 'good', 'hope', 'make', 'improvement', 'towards', 'take', 'away', 'package', 'cup', 'hard', 'rider', 'bring', 'way', 'would', 'spill', 'waste']","['yea', 'good', 'hope', 'make', 'improvement', 'towards', 'take', 'away', 'package', 'cup', 'hard', 'rider', 'bring', 'way', 'would', 'spill', 'waste']"
Izzi 143,Local Guide · 10 reviews · 16 photos,4 years ago,"Desserts are wonderful
Ordered the grilled chicken burger cheese. Chicken was amazing but the bread was hard, difficult to cut & bite into. Its supposed to be toasted and crunchy. …","desserts are wonderful
ordered the grilled chicken burger cheese. chicken was amazing but the bread was hard, difficult to cut & bite into. its supposed to be toasted and crunchy. …","desserts are wonderful
ordered the grilled chicken burger cheese. chicken was amazing but the bread was hard, difficult to cut & bite into. its supposed to be toasted and crunchy. …","desserts are wonderful
ordered the grilled chicken burger cheese. chicken was amazing but the bread was hard, difficult to cut & bite into. its supposed to be toasted and crunchy. …","desserts are wonderful
ordered the grilled chicken burger cheese. chicken was amazing but the bread was hard, difficult to cut & bite into. its supposed to be toasted and crunchy. …","desserts are wonderful
ordered the grilled chicken burger cheese. chicken was amazing but the bread was hard, difficult to cut & bite into. its supposed to be toasted and crunchy. …","desserts are wonderful
ordered the grilled chicken burger cheese. chicken was amazing but the bread was hard, difficult to cut & bite into. its supposed to be toasted and crunchy. …","desserts are wonderful
ordered the grilled chicken burger cheese chicken was amazing but the bread was hard difficult to cut  bite into its supposed to be toasted and crunchy …","desserts are wonderful
ordered the grilled chicken burger cheese chicken was amazing but the bread was hard difficult to cut  bite into its supposed to be toasted and crunchy …","desserts are wonderful
ordered the grilled chicken burger cheese chicken was amazing but the bread was hard difficult to cut  bite into its supposed to be boasted and crunch …",desserts wonderful ordered grilled chicken burger cheese chicken amazing bread hard difficult cut bite supposed boasted crunch …,dessert wonderful order grilled chicken burger cheese chicken amaze bread hard difficult cut bite suppose boast crunch …,"['dessert', 'wonderful', 'order', 'grilled', 'chicken', 'burger', 'cheese', 'chicken', 'amaze', 'bread', 'hard', 'difficult', 'cut', 'bite', 'suppose', 'boast', 'crunch', '…']","['dessert', 'wonderful', 'order', 'grilled', 'chicken', 'burger', 'cheese', 'chicken', 'amaze', 'bread', 'hard', 'difficult', 'cut', 'bite', 'suppose', 'boast', 'crunch', '…']"
Hafiz Hussin,"Local Guide · 485 reviews · 2,117 photos",4 years ago,"Newest craze in town. Sweet tooth lover will be suprised by all the variety brownies, cakes and chocolate sweet. The place quite small but the big winner is their dessert. Well done to all the staff and owner. Keep it up!","newest craze in town. sweet tooth lover will be suprised by all the variety brownies, cakes and chocolate sweet. the place quite small but the big winner is their dessert. well done to all the staff and owner. keep it up!","newest craze in town. sweet tooth lover will be suprised by all the variety brownies, cakes and chocolate sweet. the place quite small but the big winner is their dessert. well done to all the staff and owner. keep it up!","newest craze in town. sweet tooth lover will be suprised by all the variety brownies, cakes and chocolate sweet. the place quite small but the big winner is their dessert. well done to all the staff and owner. keep it up!","newest craze in town. sweet tooth lover will be suprised by all the variety brownies, cakes and chocolate sweet. the place quite small but the big winner is their dessert. well done to all the staff and owner. keep it up!","newest craze in town. sweet tooth lover will be suprised by all the variety brownies, cakes and chocolate sweet. the place quite small but the big winner is their dessert. well done to all the staff and owner. keep it up!","newest craze in town. sweet tooth lover will be suprised by all the variety brownies, cakes and chocolate sweet. the place quite small but the big winner is their dessert. well done to all the staff and owner. keep it up!",newest craze in town sweet tooth lover will be suprised by all the variety brownies cakes and chocolate sweet the place quite small but the big winner is their dessert well done to all the staff and owner keep it up,newest craze in town sweet tooth lover will be suprised by all the variety brownies cakes and chocolate sweet the place quite small but the big winner is their dessert well done to all the staff and owner keep it up,newest craze in town sweet tooth lover will be surprised by all the variety brownish cakes and chocolate sweet the place quite small but the big winner is their dessert well done to all the staff and owner keep it up,newest craze town sweet tooth lover surprised variety brownish cakes chocolate sweet place quite small big winner dessert well done staff owner keep,new craze town sweet tooth lover surprise variety brownish cake chocolate sweet place quite small big winner dessert well do staff owner keep,"['new', 'craze', 'town', 'sweet', 'tooth', 'lover', 'surprise', 'variety', 'brownish', 'cake', 'chocolate', 'sweet', 'place', 'quite', 'small', 'big', 'winner', 'dessert', 'well', 'do', 'staff', 'owner', 'keep']","['new', 'craze', 'town', 'sweet', 'tooth', 'lover', 'surprise', 'variety', 'brownish', 'cake', 'chocolate', 'sweet', 'place', 'quite', 'small', 'big', 'winner', 'dessert', 'well', 'do', 'staff', 'owner', 'keep']"
muhd al-wafi,18 reviews · 4 photos,a year ago,"So sweetttt , literallyyyy but the place is aesthetic and well kept cleaned... Keep up the good workkk guyss","so sweetttt , literallyyyy but the place is aesthetic and well kept cleaned... keep up the good workkk guyss","so sweetttt , literallyyyy but the place is aesthetic and well kept cleaned... keep up the good workkk guyss","so sweetttt , literallyyyy but the place is aesthetic and well kept cleaned... keep up the good workkk guyss","so sweetttt , literallyyyy but the place is aesthetic and well kept cleaned... keep up the good workkk guyss","so sweetttt , literallyyyy but the place is aesthetic and well kept cleaned... keep up the good workkk guyss","so sweetttt , literallyyyy but the place is aesthetic and well kept cleaned... keep up the good workkk guyss",so sweetttt  literallyyyy but the place is aesthetic and well kept cleaned keep up the good workkk guyss,so sweetttt  literallyyyy but the place is aesthetic and well kept cleaned keep up the good workkk guyss,so sweetttt  literallyyyy but the place is aesthetic and well kept cleaned keep up the good work guess,sweetttt literallyyyy place aesthetic well kept cleaned keep good work guess,sweetttt literallyyyy place aesthetic well keep cleaned keep good work guess,"['sweetttt', 'literallyyyy', 'place', 'aesthetic', 'well', 'keep', 'cleaned', 'keep', 'good', 'work', 'guess']","['sweetttt', 'literallyyyy', 'place', 'aesthetic', 'well', 'keep', 'cleaned', 'keep', 'good', 'work', 'guess']"
muhammad rodi,Local Guide · 60 reviews · 62 photos,4 years ago,The desserts is great but the Q is time consuming.,the desserts is great but the q is time consuming.,the desserts is great but the q is time consuming.,the desserts is great but the q is time consuming.,the desserts is great but the q is time consuming.,the desserts is great but the q is time consuming.,the desserts is great but the q is time consuming.,the desserts is great but the q is time consuming,the desserts is great but the q is time consuming,the desserts is great but the q is time consuming,desserts great q time consuming,dessert great q time consume,"['dessert', 'great', 'q', 'time', 'consume']","['dessert', 'great', 'q', 'time', 'consume']"
fatimah,8 reviews,2 years ago,one of the staff yell and shout at me “nak yang mana??!!!!”  very rude men staff.,one of the staff yell and shout at me “nak yang mana??!!!!”  very rude men staff.,one of the staff yell and shout at me “nak yang mana??!!!!”  very rude men staff.,one of the staff yell and shout at me “nak yang mana??!!!!”  very rude men staff.,one of the staff yell and shout at me “nak yang mana??!!!!”  very rude men staff.,one of the staff yell and shout at me “nak yang mana??!!!!”  very rude men staff.,one of the staff yell and shout at me “nak yang mana??!!!!”  very rude men staff.,one of the staff yell and shout at me “nak yang mana”  very rude men staff,one of the staff yell and shout at me “nak yang mana”  very rude men staff,one of the staff yell and shout at me “nak yang mana”  very rude men staff,one staff yell shout “nak yang mana” rude men staff,one staff yell shout “ nak yang mana ” rude men staff,"['one', 'staff', 'yell', 'shout', '“', 'nak', 'yang', 'mana', '”', 'rude', 'men', 'staff']","['one', 'staff', 'yell', 'shout', '“', 'nak', 'yang', 'mana', '”', 'rude', 'men', 'staff']"
Yu아이유,Local Guide · 47 reviews · 254 photos,2 months ago,Alhamdulillah I've been craving for a long time and finally got it. It's close to my sister-in-law's house. 3 minutes by car. But it's so much fun that I don't have time to go to Selayang. This time it's so …,alhamdulillah i've been craving for a long time and finally got it. it's close to my sister-in-law's house. 3 minutes by car. but it's so much fun that i don't have time to go to selayang. this time it's so …,alhamdulillah i've been craving for a long time and finally got it. it's close to my sister-in-law's house. 3 minutes by car. but it's so much fun that i don't have time to go to selayang. this time it's so …,alhamdulillah i've been craving for a long time and finally got it. it's close to my sister-in-law's house. 3 minutes by car. but it's so much fun that i don't have time to go to selayang. this time it's so …,alhamdulillah i've been craving for a long time and finally got it. it's close to my sister-in-law's house. 3 minutes by car. but it's so much fun that i don't have time to go to selayang. this time it's so …,alhamdulillah i've been craving for a long time and finally got it. it's close to my sister-in-law's house. 3 minutes by car. but it's so much fun that i don't have time to go to selayang. this time it's so …,alhamdulillah i have been craving for a long time and finally got it. it is close to my sister-in-law's house. 3 minutes by car. but it is so much fun that i do not have time to go to selayang. this time it is so …,alhamdulillah i have been craving for a long time and finally got it it is close to my sisterinlaws house 3 minutes by car but it is so much fun that i do not have time to go to selayang this time it is so …,alhamdulillah i have been craving for a long time and finally got it it is close to my sisterinlaws house  minutes by car but it is so much fun that i do not have time to go to selayang this time it is so …,alhamdulillah i have been craving for a long time and finally got it it is close to my sisterinlaws house  minutes by car but it is so much fun that i do not have time to go to delaying this time it is so …,alhamdulillah craving long time finally got close sisterinlaws house minutes car much fun time go delaying time …,alhamdulillah crave long time finally get close sisterinlaws house minute car much fun time go delaying time …,"['alhamdulillah', 'crave', 'long', 'time', 'finally', 'get', 'close', 'sisterinlaws', 'house', 'minute', 'car', 'much', 'fun', 'time', 'go', 'delaying', 'time', '…']","['alhamdulillah', 'crave', 'long', 'time', 'finally', 'get', 'close', 'sisterinlaws', 'house', 'minute', 'car', 'much', 'fun', 'time', 'go', 'delaying', 'time', '…']"
Lailahusna,Local Guide · 7 reviews · 20 photos,2 months ago,"Overall, everything I ordered was delicious. But the place to dine in is hot when there are many people. I feel very uncomfortable eating. The ice cream is delicious, the bucket cookies are delicious, the croissants are crazy crunchy and …","overall, everything i ordered was delicious. but the place to dine in is hot when there are many people. i feel very uncomfortable eating. the ice cream is delicious, the bucket cookies are delicious, the croissants are crazy crunchy and …","overall, everything i ordered was delicious. but the place to dine in is hot when there are many people. i feel very uncomfortable eating. the ice cream is delicious, the bucket cookies are delicious, the croissants are crazy crunchy and …","overall, everything i ordered was delicious. but the place to dine in is hot when there are many people. i feel very uncomfortable eating. the ice cream is delicious, the bucket cookies are delicious, the croissants are crazy crunchy and …","overall, everything i ordered was delicious. but the place to dine in is hot when there are many people. i feel very uncomfortable eating. the ice cream is delicious, the bucket cookies are delicious, the croissants are crazy crunchy and …","overall, everything i ordered was delicious. but the place to dine in is hot when there are many people. i feel very uncomfortable eating. the ice cream is delicious, the bucket cookies are delicious, the croissants are crazy crunchy and …","overall, everything i ordered was delicious. but the place to dine in is hot when there are many people. i feel very uncomfortable eating. the ice cream is delicious, the bucket cookies are delicious, the croissants are crazy crunchy and …",overall everything i ordered was delicious but the place to dine in is hot when there are many people i feel very uncomfortable eating the ice cream is delicious the bucket cookies are delicious the croissants are crazy crunchy and …,overall everything i ordered was delicious but the place to dine in is hot when there are many people i feel very uncomfortable eating the ice cream is delicious the bucket cookies are delicious the croissants are crazy crunchy and …,overall everything i ordered was delicious but the place to dine in is hot when there are many people i feel very uncomfortable eating the ice cream is delicious the bucket cookies are delicious the croissants are crazy crunch and …,overall everything ordered delicious place dine hot many people feel uncomfortable eating ice cream delicious bucket cookies delicious croissants crazy crunch …,overall everything order delicious place dine hot many people feel uncomfortable eating ice cream delicious bucket cooky delicious croissant crazy crunch …,"['overall', 'everything', 'order', 'delicious', 'place', 'dine', 'hot', 'many', 'people', 'feel', 'uncomfortable', 'eating', 'ice', 'cream', 'delicious', 'bucket', 'cooky', 'delicious', 'croissant', 'crazy', 'crunch', '…']","['overall', 'everything', 'order', 'delicious', 'place', 'dine', 'hot', 'many', 'people', 'feel', 'uncomfortable', 'eating', 'ice', 'cream', 'delicious', 'bucket', 'cooky', 'delicious', 'croissant', 'crazy', 'crunch', '…']"
Ana Farhana,Local Guide · 48 reviews · 132 photos,3 months ago,"Parking can be parked at the Ground Level (paid parking)

The queue to enter the store is long but fast, within an hour you can order and …","parking can be parked at the ground level (paid parking)

the queue to enter the store is long but fast, within an hour you can order and …","parking can be parked at the ground level (paid parking)

the queue to enter the store is long but fast, within an hour you can order and …","parking can be parked at the ground level (paid parking)

the queue to enter the store is long but fast, within an hour you can order and …","parking can be parked at the ground level (paid parking)

the queue to enter the store is long but fast, within an hour you can order and …","parking can be parked at the ground level (paid parking)

the queue to enter the store is long but fast, within an hour you can order and …","parking can be parked at the ground level (paid parking)

the queue to enter the store is long but fast, within an hour you can order and …","parking can be parked at the ground level paid parking

the queue to enter the store is long but fast within an hour you can order and …","parking can be parked at the ground level paid parking

the queue to enter the store is long but fast within an hour you can order and …","parking can be parked at the ground level paid parking

the queue to enter the store is long but fast within an hour you can order and …",parking parked ground level paid parking queue enter store long fast within hour order …,park park ground level pay park queue enter store long fast within hour order …,"['park', 'park', 'ground', 'level', 'pay', 'park', 'queue', 'enter', 'store', 'long', 'fast', 'within', 'hour', 'order', '…']","['park', 'park', 'ground', 'level', 'pay', 'park', 'queue', 'enter', 'store', 'long', 'fast', 'within', 'hour', 'order', '…']"
zamira zamira,6 reviews · 17 photos,2 months ago,"For sweet lovers, this is heaven😋.. And for those who are sick, the sugar factory is already in the body to make it taste, God willing... there are other foods too. Follow your own taste …","for sweet lovers, this is heaven😋.. and for those who are sick, the sugar factory is already in the body to make it taste, god willing... there are other foods too. follow your own taste …","for sweet lovers, this is heaven😋.. and for those who are sick, the sugar factory is already in the body to make it taste, god willing... there are other foods too. follow your own taste …","for sweet lovers, this is heaven😋.. and for those who are sick, the sugar factory is already in the body to make it taste, god willing... there are other foods too. follow your own taste …","for sweet lovers, this is heaven.. and for those who are sick, the sugar factory is already in the body to make it taste, god willing... there are other foods too. follow your own taste …","for sweet lovers, this is heaven.. and for those who are sick, the sugar factory is already in the body to make it taste, god willing... there are other foods too. follow your own taste …","for sweet lovers, this is heaven.. and for those who are sick, the sugar factory is already in the body to make it taste, god willing... there are other foods too. follow your own taste …",for sweet lovers this is heaven and for those who are sick the sugar factory is already in the body to make it taste god willing there are other foods too follow your own taste …,for sweet lovers this is heaven and for those who are sick the sugar factory is already in the body to make it taste god willing there are other foods too follow your own taste …,for sweet lovers this is heaven and for those who are sick the sugar factory is already in the body to make it taste god willing there are other foods too follow your own taste …,sweet lovers heaven sick sugar factory already body make taste god willing foods follow taste …,sweet lover heaven sick sugar factory already body make taste god willing food follow taste …,"['sweet', 'lover', 'heaven', 'sick', 'sugar', 'factory', 'already', 'body', 'make', 'taste', 'god', 'willing', 'food', 'follow', 'taste', '…']","['sweet', 'lover', 'heaven', 'sick', 'sugar', 'factory', 'already', 'body', 'make', 'taste', 'god', 'willing', 'food', 'follow', 'taste', '…']"
Siti Zainab,Local Guide · 15 reviews · 6 photos,3 months ago,"First time going to a cafe like dessert @ Selayang

- location is ok, easy to find …","first time going to a cafe like dessert @ selayang

- location is ok, easy to find …","first time going to a cafe like dessert @ selayang

- location is ok, easy to find …","first time going to a cafe like dessert @ selayang

- location is ok, easy to find …","first time going to a cafe like dessert @ selayang

- location is ok, easy to find …","first time going to a cafe like dessert @ selayang

- location is ok, easy to find …","first time going to a cafe like dessert @ selayang

- location is ok, easy to find …","first time going to a cafe like dessert  selayang

 location is ok easy to find …","first time going to a cafe like dessert  selayang

 location is ok easy to find …","first time going to a cafe like dessert  delaying

 location is ok easy to find …",first time going cafe like dessert delaying location ok easy find …,first time go cafe like dessert delay location ok easy find …,"['first', 'time', 'go', 'cafe', 'like', 'dessert', 'delay', 'location', 'ok', 'easy', 'find', '…']","['first', 'time', 'go', 'cafe', 'like', 'dessert', 'delay', 'location', 'ok', 'easy', 'find', '…']"
Nadhirah,Local Guide · 128 reviews · 629 photos,3 months ago,"First time rasa during the new year event at The Curve.

How to order using paper, queue, pay, get an order 'ticket', pick up food at the …","first time rasa during the new year event at the curve.

how to order using paper, queue, pay, get an order 'ticket', pick up food at the …","first time rasa during the new year event at the curve.

how to order using paper, queue, pay, get an order 'ticket', pick up food at the …","first time rasa during the new year event at the curve.

how to order using paper, queue, pay, get an order 'ticket', pick up food at the …","first time rasa during the new year event at the curve.

how to order using paper, queue, pay, get an order 'ticket', pick up food at the …","first time rasa during the new year event at the curve.

how to order using paper, queue, pay, get an order 'ticket', pick up food at the …","first time rasa during the new year event at the curve.

how to order using paper, queue, pay, get an order 'ticket', pick up food at the …","first time rasa during the new year event at the curve

how to order using paper queue pay get an order ticket pick up food at the …","first time rasa during the new year event at the curve

how to order using paper queue pay get an order ticket pick up food at the …","first time nasa during the new year event at the curve

how to order using paper queue pay get an order ticket pick up food at the …",first time nasa new year event curve order using paper queue pay get order ticket pick food …,first time nasa new year event curve order use paper queue pay get order ticket pick food …,"['first', 'time', 'nasa', 'new', 'year', 'event', 'curve', 'order', 'use', 'paper', 'queue', 'pay', 'get', 'order', 'ticket', 'pick', 'food', '…']","['first', 'time', 'nasa', 'new', 'year', 'event', 'curve', 'order', 'use', 'paper', 'queue', 'pay', 'get', 'order', 'ticket', 'pick', 'food', '…']"
Ashraff Kamal,Local Guide · 7 reviews · 34 photos,6 months ago,I don't know what the Suka Dessert management system is like.... Dizziness! Whoever comes for the first time must jam. …,i don't know what the suka dessert management system is like.... dizziness! whoever comes for the first time must jam. …,i don't know what the suka dessert management system is like.... dizziness! whoever comes for the first time must jam. …,i don't know what the suka dessert management system is like.... dizziness! whoever comes for the first time must jam. …,i don't know what the suka dessert management system is like.... dizziness! whoever comes for the first time must jam. …,i don't know what the suka dessert management system is like.... dizziness! whoever comes for the first time must jam. …,i do not know what the suka dessert management system is like.... dizziness! whoever comes for the first time must jam. …,i do not know what the suka dessert management system is like dizziness whoever comes for the first time must jam …,i do not know what the suka dessert management system is like dizziness whoever comes for the first time must jam …,i do not know what the ska dessert management system is like dizziness whoever comes for the first time must jam …,know ska dessert management system like dizziness whoever comes first time must jam …,know ska dessert management system like dizziness whoever come first time must jam …,"['know', 'ska', 'dessert', 'management', 'system', 'like', 'dizziness', 'whoever', 'come', 'first', 'time', 'must', 'jam', '…']","['know', 'ska', 'dessert', 'management', 'system', 'like', 'dizziness', 'whoever', 'come', 'first', 'time', 'must', 'jam', '…']"
Fadzreena Myra,Local Guide · 139 reviews · 662 photos,a month ago,"queuing for 1 hour 30 min for sukadessert, all the food is cold huhuhu, buy croissants and hot chocolate are not even hot 😭 cake in bowl is delicious but a little sweet …","queuing for 1 hour 30 min for sukadessert, all the food is cold huhuhu, buy croissants and hot chocolate are not even hot 😭 cake in bowl is delicious but a little sweet …","queuing for 1 hour 30 min for sukadessert, all the food is cold huhuhu, buy croissants and hot chocolate are not even hot 😭 cake in bowl is delicious but a little sweet …","queuing for 1 hour 30 min for sukadessert, all the food is cold huhuhu, buy croissants and hot chocolate are not even hot 😭 cake in bowl is delicious but a little sweet …","queuing for 1 hour 30 min for sukadessert, all the food is cold huhuhu, buy croissants and hot chocolate are not even hot  cake in bowl is delicious but a little sweet …","queuing for 1 hour 30 min for sukadessert, all the food is cold huhuhu, buy croissants and hot chocolate are not even hot  cake in bowl is delicious but a little sweet …","queuing for 1 hour 30 min for sukadessert, all the food is cold huhuhu, buy croissants and hot chocolate are not even hot  cake in bowl is delicious but a little sweet …",queuing for 1 hour 30 min for sukadessert all the food is cold huhuhu buy croissants and hot chocolate are not even hot  cake in bowl is delicious but a little sweet …,queuing for  hour  min for sukadessert all the food is cold huhuhu buy croissants and hot chocolate are not even hot  cake in bowl is delicious but a little sweet …,quoting for  hour  min for sukadessert all the food is cold huhuhu buy croissants and hot chocolate are not even hot  cake in bowl is delicious but a little sweet …,quoting hour min sukadessert food cold huhuhu buy croissants hot chocolate even hot cake bowl delicious little sweet …,quote hour min sukadessert food cold huhuhu buy croissant hot chocolate even hot cake bowl delicious little sweet …,"['quote', 'hour', 'min', 'sukadessert', 'food', 'cold', 'huhuhu', 'buy', 'croissant', 'hot', 'chocolate', 'even', 'hot', 'cake', 'bowl', 'delicious', 'little', 'sweet', '…']","['quote', 'hour', 'min', 'sukadessert', 'food', 'cold', 'huhuhu', 'buy', 'croissant', 'hot', 'chocolate', 'even', 'hot', 'cake', 'bowl', 'delicious', 'little', 'sweet', '…']"
noredayu ariff,11 reviews · 16 photos,2 months ago,"Since I took care of him at Selayang Hospital for 12 days. I came here 6 times. So far I will come in the middle of the night because I don't Q. Today is a little frustrating. Because the staff is not very friendly, maybe they are tired. …","since i took care of him at selayang hospital for 12 days. i came here 6 times. so far i will come in the middle of the night because i don't q. today is a little frustrating. because the staff is not very friendly, maybe they are tired. …","since i took care of him at selayang hospital for 12 days. i came here 6 times. so far i will come in the middle of the night because i don't q. today is a little frustrating. because the staff is not very friendly, maybe they are tired. …","since i took care of him at selayang hospital for 12 days. i came here 6 times. so far i will come in the middle of the night because i don't q. today is a little frustrating. because the staff is not very friendly, maybe they are tired. …","since i took care of him at selayang hospital for 12 days. i came here 6 times. so far i will come in the middle of the night because i don't q. today is a little frustrating. because the staff is not very friendly, maybe they are tired. …","since i took care of him at selayang hospital for 12 days. i came here 6 times. so far i will come in the middle of the night because i don't q. today is a little frustrating. because the staff is not very friendly, maybe they are tired. …","since i took care of him at selayang hospital for 12 days. i came here 6 times. so far i will come in the middle of the night because i do not q. today is a little frustrating. because the staff is not very friendly, maybe they are tired. …",since i took care of him at selayang hospital for 12 days i came here 6 times so far i will come in the middle of the night because i do not q today is a little frustrating because the staff is not very friendly maybe they are tired …,since i took care of him at selayang hospital for  days i came here  times so far i will come in the middle of the night because i do not q today is a little frustrating because the staff is not very friendly maybe they are tired …,since i took care of him at delaying hospital for  days i came here  times so far i will come in the middle of the night because i do not q today is a little frustrating because the staff is not very friendly maybe they are tired …,since took care delaying hospital days came times far come middle night q today little frustrating staff friendly maybe tired …,since take care delay hospital day come times far come middle night q today little frustrating staff friendly maybe tired …,"['since', 'take', 'care', 'delay', 'hospital', 'day', 'come', 'times', 'far', 'come', 'middle', 'night', 'q', 'today', 'little', 'frustrating', 'staff', 'friendly', 'maybe', 'tired', '…']","['since', 'take', 'care', 'delay', 'hospital', 'day', 'come', 'times', 'far', 'come', 'middle', 'night', 'q', 'today', 'little', 'frustrating', 'staff', 'friendly', 'maybe', 'tired', '…']"
Ra Deans,4 reviews · 13 photos,a month ago,I'm here for syahbuna to buy cookies that my mother sent for Raya.. My fortune is early.. Because I don't need it.. But there's a lot of people in the store.. I'm in charge of the store.. Pergghh.. Pjg q until the end.. …,i'm here for syahbuna to buy cookies that my mother sent for raya.. my fortune is early.. because i don't need it.. but there's a lot of people in the store.. i'm in charge of the store.. pergghh.. pjg q until the end.. …,i'm here for syahbuna to buy cookies that my mother sent for raya.. my fortune is early.. because i don't need it.. but there's a lot of people in the store.. i'm in charge of the store.. pergghh.. pjg q until the end.. …,i'm here for syahbuna to buy cookies that my mother sent for raya.. my fortune is early.. because i don't need it.. but there's a lot of people in the store.. i'm in charge of the store.. pergghh.. pjg q until the end.. …,i'm here for syahbuna to buy cookies that my mother sent for raya.. my fortune is early.. because i don't need it.. but there's a lot of people in the store.. i'm in charge of the store.. pergghh.. pjg q until the end.. …,i'm here for syahbuna to buy cookies that my mother sent for raya.. my fortune is early.. because i don't need it.. but there's a lot of people in the store.. i'm in charge of the store.. pergghh.. pjg q until the end.. …,i am here for syahbuna to buy cookies that my mother sent for raya.. my fortune is early.. because i do not need it.. but there's a lot of people in the store.. i am in charge of the store.. pergghh.. pjg q until the end.. …,i am here for syahbuna to buy cookies that my mother sent for raya my fortune is early because i do not need it but theres a lot of people in the store i am in charge of the store pergghh pjg q until the end …,i am here for syahbuna to buy cookies that my mother sent for raya my fortune is early because i do not need it but theres a lot of people in the store i am in charge of the store pergghh pjg q until the end …,i am here for syahbuna to buy cookies that my mother sent for ray my fortune is early because i do not need it but theres a lot of people in the store i am in charge of the store pergghh pg q until the end …,syahbuna buy cookies mother sent ray fortune early need theres lot people store charge store pergghh pg q end …,syahbuna buy cooky mother sent ray fortune early need there lot people store charge store pergghh pg q end …,"['syahbuna', 'buy', 'cooky', 'mother', 'sent', 'ray', 'fortune', 'early', 'need', 'there', 'lot', 'people', 'store', 'charge', 'store', 'pergghh', 'pg', 'q', 'end', '…']","['syahbuna', 'buy', 'cooky', 'mother', 'sent', 'ray', 'fortune', 'early', 'need', 'there', 'lot', 'people', 'store', 'charge', 'store', 'pergghh', 'pg', 'q', 'end', '…']"
