username,Past Action,Time,Review,processed
Abdul Hakim,Local Guide · 132 reviews · 509 photos,5 months ago,"DELICIOUS! But, very sweet. Buying every day is not good, if you want to try once in a while, it's okay.","['delicious', 'sweet', 'buying', 'every', 'day', 'good', 'want', 'try', 'okay']"
amalina rosman,10 reviews · 3 photos,8 months ago,"first time came excited to try food and dessert, but a lot of food ran out. when you try dessert, it's normal. order water brown sugar mintk matcha add-on boba but the milk tea that you get boba and match is crazy sweet. I asked the staff to say sorry, that's why I'm sorry. overall less satisfactory","['first', 'time', 'come', 'excited', 'try', 'food', 'dessert', 'lot', 'food', 'run', 'try', 'dessert', 'normal', 'order', 'water', 'brown', 'sugar', 'mint', 'match', 'addons', 'bob', 'milk', 'tea', 'get', 'bob', 'match', 'crazy', 'sweet', 'asked', 'staff', 'say', 'sorry', 'sorry', 'overall', 'less', 'satisfactory']"
Raudhah Norazman,1 review,2 months ago,"If you want to eat sweets, it's okay, it's good, but if you order heavy food, it's overpriced and not tasty at all, order fried fish fried rice, it tastes bland and if you don't finish it, the fried rice will be stale by the time you get home. Dry pan noodles are hard. The brown overalls are all delicious","['want', 'eat', 'sweet', 'okay', 'good', 'order', 'heavy', 'food', 'overprice', 'tasty', 'order', 'fry', 'fish', 'fry', 'rice', 'taste', 'bland', 'finish', 'fry', 'rice', 'stale', 'time', 'get', 'home', 'dry', 'pan', 'noodles', 'hard', 'brown', 'overall', 'delicious']"
Farah Fazil,9 reviews · 3 photos,11 months ago,"This is an honest review, you know... I came here for the first time with the hope that there will be parking because my aunty has rented a lot, but it's a bit strange that I didn't come during peak time but all the parking lots are full so …","['honest', 'review', 'know', 'come', 'first', 'time', 'hope', 'park', 'aunt', 'rent', 'lot', 'bit', 'strange', 'come', 'peak', 'time', 'park', 'lot', 'full', '…']"
HYDRO R,Local Guide · 65 reviews · 100 photos,2 years ago,"I have to eat dessert when I come here.
Mac n cheese is not good at all. It tastes like corn flour, like snot …","['eat', 'dessert', 'come', 'mac', 'n', 'cheese', 'good', 'taste', 'like', 'corn', 'flour', 'like', '…']"
syarafi samsudin,3 reviews · 2 photos,a month ago,said open at 10.00. but at 10.10am it opens again. there are staff seen wandering in and out. Customers have been waiting to start at 9.00am. Haih. Please improve the quality of service. If you can't open at 10. Don't open at 10.,"['say', 'open', 'open', 'staff', 'see', 'wander', 'customer', 'wait', 'start', 'hair', 'please', 'improve', 'quality', 'service', 'can', 'not', 'open', 'open']"
Fatin Nasuha,6 reviews · 7 photos,11 months ago,"Worth the long haul. Because the food is so good. If you feel like waiting, don't come. Empty pi do it yourself ok. I will repeat again later. Beratok is no problem. It's okay.","['worth', 'long', 'haul', 'food', 'good', 'feel', 'like', 'wait', 'come', 'empty', 'pi', 'ok', 'repeat', 'later', 'beratok', 'problem', 'okay']"
local person,Local Guide · 31 reviews · 24 photos,6 months ago,very sweet not for me it feels like eating only sugar😭. I don't know how you can swallow it. not worth the price …,"['sweet', 'feel', 'like', 'eat', 'sugar', 'know', 'swallow', 'worth', 'price', '…']"
Siti Rasyidah,10 reviews,4 months ago,"Overrated. Fried rice ramen pasta doesn't taste good at all. Expensive price. Dessert is worth it, it's delicious. Brownies are hard and not very tasty. I don't understand why you have to queue when the tables inside are mostly empty. At …","['operate', 'fried', 'rice', 'raven', 'pasta', 'taste', 'good', 'expensive', 'price', 'dessert', 'worth', 'delicious', 'brownish', 'hard', 'tasty', 'understand', 'queue', 'table', 'inside', 'mostly', 'empty', '…']"
Tajul Hfifi,3 reviews · 1 photo,4 months ago,"It's cake in a bowl or not, I'm in the mood to eat a little, so I put it in the box to eat it cold, it's only been in for 30 minutes. His chocolate went straight on, even though it didn't even go in the freezer. Come out, right, 2 or 3 …","['cake', 'bowl', 'mood', 'eat', 'little', 'put', 'box', 'eat', 'cold', 'minute', 'chocolate', 'go', 'straight', 'even', 'though', 'even', 'go', 'freezer', 'come', 'right', '…']"
mohd hamri hamzah,Local Guide · 28 reviews · 31 photos,2 months ago,The food is good but waiting in line is the weak point.. there are too many fans,"['food', 'good', 'waiting', 'line', 'weak', 'point', 'many', 'fan']"
ida_ noor,Local Guide · 38 reviews · 71 photos,3 years ago,"Hey guys! Okay, let's review the dessert shop mentioned here..
■ the ambience is nice, like a dessert cafe, right?
■ crowd not bad, because maybe that's the hyped dessert …","['hey', 'guy', 'okay', 'let', 'u', 'review', 'dessert', 'shop', 'mention', '■', 'audience', 'nice', 'like', 'dessert', 'cafe', 'right', '■', 'crowd', 'bad', 'maybe', 'hop', 'dessert', '…']"
Najah Gaffar,6 reviews,4 months ago,The taste of chocolate is premium. But the price is sky high. maybe im not their target market. But the queuing system from entering the store to paying is really bad. Please hire a consultant to review your system because you pay millions in tax. I think it's enough to hire a consultant.,"['taste', 'chocolate', 'premium', 'price', 'sky', 'high', 'maybe', 'im', 'target', 'market', 'quote', 'system', 'enter', 'store', 'pay', 'really', 'bad', 'please', 'hire', 'consultant', 'review', 'system', 'pay', 'million', 'tax', 'think', 'enough', 'hire', 'consultant']"
Syafiq Noordin,2 reviews,2 months ago,The food is good... It's just that there was a long queue 2 times because there was no instruction about the payment section and the gifting section of the purchased items... I haven't told you yet that there was a long queue while waiting outside.. 😔 …,"['food', 'good', 'long', 'queue', 'time', 'instruction', 'payment', 'section', 'lift', 'section', 'purchase', 'item', 'tell', 'yet', 'long', 'queue', 'wait', 'outside', '…']"
Asyraf Zainal,8 reviews · 5 photos,a year ago,"Service too slow. I know the shop is viral and many people will come, pls do something to improve the service. Don't you want to tell customers to queue for 2 hours to buy? You can limit online purchases. Then there is a team that manages …","['service', 'slow', 'know', 'shop', 'viral', 'many', 'people', 'come', 'pls', 'something', 'improve', 'service', 'want', 'tell', 'customer', 'queue', 'hour', 'buy', 'limit', 'online', 'purchase', 'team', 'manage', '…']"
ashraff daud,Local Guide · 48 reviews · 42 photos,a year ago,"Arrival Date
20/1/2024
Time 7.40PM- 8.19PM …","['arrival', 'date', 'time', 'pm', 'pm', '…']"
Suhana,Local Guide · 74 reviews · 55 photos,2 months ago,If chocolate lovers like it... I like it sweet.. So it's ok to go... I think it's expensive chocolate.. But those who don't like chocolate can order other dishes.. Here's spaghetti and fried rice. N others.... …,"['chocolate', 'lover', 'like', 'like', 'sweet', 'ok', 'go', 'think', 'expensive', 'chocolate', 'like', 'chocolate', 'order', 'dish', 'heres', 'spaghetti', 'fry', 'rice', 'n', 'others', '…']"
Hafifa Kamdi,Local Guide · 18 reviews · 54 photos,a year ago,"There are many dessert options here. The price is a bit pricey and the taste is ok. Better to go on weekdays as there are not many people. If you go on the weekend, there will be a long queue.","['many', 'dessert', 'option', 'price', 'bit', 'price', 'taste', 'ok', 'well', 'go', 'weekdays', 'many', 'people', 'go', 'weekend', 'long', 'queue']"
Akhma 1993,Local Guide · 26 reviews · 37 photos,3 weeks ago,"Even if you wait an hour, it's worth it","['even', 'wait', 'hour', 'worth']"
qhairul,Local Guide · 17 reviews · 1 photo,a month ago,"Random eye, the price is a bit harsh but it matches his product, it's delicious until you lick your fingers... it's just a weekend where you're tired of queuing","['random', 'eye', 'price', 'bit', 'harsh', 'match', 'product', 'delicious', 'lick', 'finger', 'weekend', 'tire', 'quote']"
Nur Fikri,6 reviews · 9 photos,2 months ago,"Come here early, if you're late, queue up but it won't take long, just an hour...","['come', 'early', 'late', 'queue', 'take', 'long', 'hour']"
MAIZATUL NUR,Local Guide · 92 reviews · 102 photos,8 months ago,"Food festival stadium hang jebat. 😂
It's sad to see the food. Croissant shahdu, chocolate water can only be half a cup. The cup is small like a polystyrene cup. 😂 Really sad. The price is expensive 😂 …","['food', 'festival', 'stadium', 'hang', 'debate', 'sad', 'see', 'food', 'croissant', 'shade', 'chocolate', 'water', 'half', 'cup', 'cup', 'small', 'like', 'polystyrene', 'cup', 'really', 'sad', 'price', 'expensive', '…']"
Alisya Afrina,Local Guide · 168 reviews · 511 photos,2 years ago,"Car parking is a bit limited.. but if you ride a motorbike, it's easy to park in front of the store.. the place is always full.. 1 time I walk in and try the oden with spaghetti, the deserts I buy and bring back when I'm done eating.. the dessert is really good.. but I can't eat it all the time broken diet..hahaha","['car', 'park', 'bit', 'limited', 'ride', 'motorbike', 'easy', 'park', 'front', 'store', 'place', 'always', 'full', 'time', 'walk', 'try', 'open', 'spaghetti', 'desert', 'buy', 'bring', 'back', 'do', 'eating', 'dessert', 'really', 'good', 'can', 'not', 'eat', 'time', 'broken', 'diethahaha']"
Donself,Local Guide · 210 reviews · 309 photos,a year ago,"There are many types of deserts here. If you want to buy a wrap, you can, if you want to eat directly here, there is a comfortable dining room with air conditioning. …","['many', 'type', 'desert', 'want', 'buy', 'wrap', 'want', 'eat', 'directly', 'comfortable', 'din', 'room', 'air', 'condition', '…']"
Ajrieka Amran,50 reviews · 137 photos,a year ago,"Fun with cust but fast service. Baby pancake, don't wait a long time & go to the counter to pay. Friendly staff","['fun', 'fast', 'service', 'baby', 'pancake', 'wait', 'long', 'time', 'go', 'counter', 'pay', 'friendly', 'staff']"
galenicahoney,33 reviews · 2 photos,3 months ago,"Narrow shops, long and long queues.
The order and pay system is confusing and different even for one store. Not organized. …","['narrow', 'shop', 'long', 'long', 'queues', 'order', 'pay', 'system', 'confuse', 'different', 'even', 'one', 'store', 'organize', '…']"
Jazali Mohamad,7 reviews · 6 photos,10 months ago,"To entrepreneurs Love this dessert. I hope this will be resolved in the future. The issue is, the food purchasing system is not systematic, the waiting time is too long and the business space is uncomfortable due to too many customers. I …","['entrepreneur', 'love', 'dessert', 'hope', 'resolve', 'future', 'issue', 'food', 'purchase', 'system', 'systematic', 'wait', 'time', 'long', 'business', 'space', 'uncomfortable', 'due', 'many', 'customer', '…']"
Nadnod Azizan,Local Guide · 11 reviews · 24 photos,5 months ago,"First time buying because I don't know what the hype is, there are long queues. Now I know why there is a long queue. …","['first', 'time', 'buying', 'know', 'hype', 'long', 'queue', 'know', 'long', 'queue', '…']"
zaharudin rohman,Local Guide · 95 reviews · 926 photos,a year ago,Lots of dessert options. There are also heavy meals like fried rice. The price is a bit expensive.,"['lot', 'dessert', 'option', 'also', 'heavy', 'meal', 'like', 'fried', 'rice', 'price', 'bit', 'expensive']"
Liyana Jasmine,Local Guide · 17 reviews · 12 photos,3 months ago,"All the desserts are very, very tasty.. only if the shop can be expanded a little, maybe it will be more comfortable.. you have to be patient if you want to buy desserts near here because you have to queue and fight a bit.. so far the service is not slow, it's just cramped..","['dessert', 'tasty', 'shop', 'expand', 'little', 'maybe', 'comfortable', 'patient', 'want', 'buy', 'dessert', 'near', 'queue', 'fight', 'bit', 'far', 'service', 'slow', 'cramp']"
Zahirah Zainol,7 reviews · 4 photos,6 months ago,"Sustenance that day, don't wait in long lines to dine in. Hi best. You can also takeaway if you dine in, it's soooo easy and you don't have to queue long😆 …","['sustenance', 'day', 'wait', 'long', 'line', 'dine', 'hi', 'best', 'also', 'takeaway', 'dine', 'soon', 'easy', 'queue', 'long', '…']"
Norfarahain Nasrudin,3 reviews,2 months ago,Very overrated.. not worth money at all.. it doesn't match the price.. when you put the price high.. people will expect it to taste expensive.. but.. it tastes normal.. oval cookies are just like subway cookies. . I don't know what the chocolate in the bowl is so premium.. just like cadbury chocolate.. if you want to make it raso2..,"['operate', 'worth', 'money', 'match', 'price', 'put', 'price', 'high', 'people', 'expect', 'taste', 'expensive', 'taste', 'normal', 'oval', 'cooky', 'like', 'subway', 'cooky', 'know', 'chocolate', 'bowl', 'premium', 'like', 'cadbury', 'chocolate', 'want', 'make', 'ra']"
Katak Hijau,Local Guide · 12 reviews,5 months ago,love love love. Chocoholics must get here! Most like cake in bowl and chocolate coated brownies in the round container. Very very tasty. Please can you include all the event food near the cafe as well.,"['love', 'love', 'love', 'chocoholics', 'must', 'get', 'like', 'cake', 'bowl', 'chocolate', 'coat', 'brownish', 'round', 'container', 'tasty', 'please', 'include', 'event', 'food', 'near', 'cafe', 'well']"
Syahindah Shaffie,Local Guide · 57 reviews · 81 photos,9 months ago,The queue is crazy long to get the food... I'm not exaggerating tho... You can see the picture from which store to where you want to get to the door. I like Dessert... Bucket cookies are ok but oval cookies are not for me I guess.. It's normal...,"['queue', 'crazy', 'long', 'get', 'food', 'exaggeration', 'tho', 'see', 'picture', 'store', 'want', 'get', 'door', 'like', 'dessert', 'bucket', 'cooky', 'ok', 'oval', 'cooky', 'guess', 'normal']"
NA A,Local Guide · 138 reviews · 10 photos,9 months ago,"1. All the food is okay

2. Need to upgrade the service system so that it is more systematic when there …","['food', 'okay', 'need', 'upgrade', 'service', 'system', 'systematic', '…']"
Muhd Imam,6 reviews · 2 photos,a year ago,"The dessert is really good because I like dessert, a specialist in dessert. Their staff are very friendly and polite. …","['dessert', 'really', 'good', 'like', 'dessert', 'specialist', 'dessert', 'staff', 'friendly', 'polite', '…']"
missarisa06,Local Guide · 271 reviews · 41 photos,3 months ago,"Make sure to line up in the right line, whether it's dine in or take away. Cake in bowl is soooo sweet. The croissant set is delicious, the cookies in the bucket are also worth buying. It's delicious and not very sweet.","['make', 'sure', 'line', 'right', 'line', 'whether', 'dine', 'take', 'away', 'cake', 'bowl', 'soon', 'sweet', 'croissant', 'set', 'delicious', 'cooky', 'bucket', 'also', 'worth', 'buy', 'delicious', 'sweet']"
Ahmad Azeery Ahamad Yani,3 reviews · 5 photos,3 months ago,"a bit dizzy for the first time coming because the cashiers are left and right but the right is for paying for other things, the left is for paying for other things. after queuing on the left, don't queue on the right. It's easier if there is only 1 counter for everyone.","['bit', 'diary', 'first', 'time', 'come', 'cashier', 'leave', 'right', 'right', 'pay', 'thing', 'leave', 'pay', 'thing', 'quote', 'leave', 'queue', 'right', 'easy', 'counter', 'everyone']"
hafiz mhb,7 reviews · 5 photos,7 months ago,The liquid chocolate water is crazy.. the crew gave me old water.. the cookies just taste so bad.. the choc cheese is bland...,"['liquid', 'chocolate', 'water', 'crazy', 'crew', 'give', 'old', 'water', 'cooky', 'taste', 'bad', 'hoc', 'cheese', 'bland']"
Hidayah,"Local Guide · 427 reviews · 1,140 photos",a year ago,"As my housemate said: manih he is light light ✨

Anyone who wants to eat dessert but is looking for something not too sweet, can …","['housemate', 'say', 'mania', 'light', 'light', 'anyone', 'want', 'eat', 'dessert', 'look', 'something', 'sweet', '…']"
多元先生-Diversity,Local Guide · 13 reviews · 43 photos,6 months ago,"I just bought it a while ago and there is only a little bit left. Do you think it tastes good? Barulah beli sekejap, dah dimakan oleh semua hampir habis...kamu fikir sedap ke?","['buy', 'ago', 'little', 'bit', 'leave', 'think', 'taste', 'good', 'barulah', 'belt', 'sekejap', 'dah', 'dimakan', 'ole', 'sea', 'hamper', 'habiskamu', 'wiki', 'sedan', 'ke']"
NurikaZack,2 reviews,a month ago,Best. The staff is okay. Environment okay. If there is a queue.. you have to wait a long time like at the event. In between 15 to 30 minutes only. Look at the length of the lane. Sometimes you can go straight in,"['best', 'staff', 'okay', 'environment', 'okay', 'queue', 'wait', 'long', 'time', 'like', 'event', 'minute', 'look', 'length', 'lane', 'sometimes', 'go', 'straight']"
Rizuwan,Local Guide · 150 reviews · 170 photos,2 months ago,"The queue at this shop is really long.. at least 40 minutes waiting time.. parking is also limited, if you want to park you can pay for parking in the basement","['queue', 'shop', 'really', 'long', 'least', 'minute', 'wait', 'time', 'parking', 'also', 'limit', 'want', 'park', 'pay', 'parking', 'basement']"
Fikri Ayie,3 reviews,3 months ago,"Bad service, stingy plastic bags & packaging like for chicken to eat.. people packing cookies want to bring them back, they fill so much that they can't close, if you're smart, give them a big container.. give paper bags for biscuits, you'll be lazy..","['bad', 'service', 'sting', 'plastic', 'bag', 'package', 'like', 'chicken', 'eat', 'people', 'pack', 'cooky', 'want', 'bring', 'back', 'fill', 'much', 'can', 'not', 'close', 'smart', 'give', 'big', 'container', 'give', 'paper', 'bag', 'biscuit', 'lazy']"
Lezza Ramly,8 reviews · 3 photos,8 months ago,"Came on Tuesday at 6.45pm, didn't queue and ordered at the counter, parking was in front of the shop. …","['come', 'tuesday', 'pm', 'queue', 'order', 'counter', 'park', 'front', 'shop', '…']"
Nur Auni Baharum,Local Guide · 20 reviews · 22 photos,4 months ago,"Too sweet for my taste buds
A bit dry and hard, like over baked","['sweet', 'taste', 'bud', 'bite', 'dry', 'hard', 'like', 'bake']"
Farhani Nor,Local Guide · 19 reviews · 31 photos,4 years ago,"His food.. The price is expensive, the portion is small & small, the taste is normal (a bit salty & the food is cold). For dessert, it's ok and delicious. …","['food', 'price', 'expensive', 'portion', 'small', 'small', 'taste', 'normal', 'bit', 'salty', 'food', 'cold', 'dessert', 'ok', 'delicious', '…']"
nurul,1 review,7 months ago,"This is the second time to walk in. I prefer the first time because I don't want to queue for a long time outside. This time there was a bit of a long queue, I arrived on Wednesday at 11.30am, then I was able to get in at around 12, almost …","['second', 'time', 'walk', 'prefer', 'first', 'time', 'want', 'queue', 'long', 'time', 'outside', 'time', 'bit', 'long', 'queue', 'arrive', 'wednesday', 'able', 'get', 'around', 'almost', '…']"
Yamma 16,1 review · 4 photos,9 months ago,"Before this, I was diligent about coming for dessert because it was always full house but there was no need to queue. After eating, you can go round again to see another dessert there. But now come before 10am to buy 1 dessert, you have to …","['diligent', 'come', 'dessert', 'always', 'full', 'house', 'need', 'queue', 'eat', 'go', 'round', 'see', 'another', 'dessert', 'come', 'buy', 'dessert', '…']"
nur fatini,Local Guide · 9 reviews · 4 photos,a year ago,"Desserts are all okay and delicious. But the staff is not customer friendly. Not friendly. I want to stare. Except that the new cashier is a little cold. Come from far away, treated like we can't afford to buy anyway. Hahahaha pape thanks owners, all the desserts are really delicious👍 …","['dessert', 'okay', 'delicious', 'staff', 'customer', 'friendly', 'friendly', 'want', 'stare', 'except', 'new', 'cashier', 'little', 'cold', 'come', 'far', 'away', 'treat', 'like', 'can', 'not', 'afford', 'buy', 'anyway', 'hahahaha', 'page', 'thanks', 'owner', 'dessert', 'really', 'delicious', '…']"
Siti Khairunnisa,"Local Guide · 297 reviews · 2,912 photos",a year ago,The atmosphere is relaxed and cozy. It is a chocolate paradise for dessert lovers. The price is affordable too.,"['atmosphere', 'relax', 'copy', 'chocolate', 'paradise', 'dessert', 'lover', 'price', 'affordable']"
Mohd Ariff,Local Guide · 107 reviews · 57 photos,a month ago,"Manihhh... I don't like eating these sweets. But if other people like it, that's fine. To each their own taste, to each their own money. The cost of medicine is also their own 😄 …","['manihhh', 'like', 'eat', 'sweet', 'people', 'like', 'fine', 'taste', 'money', 'cost', 'medicine', 'also', '…']"
Akram Ifwat,Local Guide · 189 reviews · 498 photos,4 months ago,"Come Sunday.
Lots of queues but quite fast
For the first time coming and never knowing the existence of this shop, it is a …","['come', 'sunday', 'lot', 'queue', 'quite', 'fast', 'first', 'time', 'come', 'never', 'know', 'existence', 'shop', '…']"
Syaza Asnyat,Local Guide · 64 reviews · 220 photos,3 years ago,"Brownies are all delicious. The sweetness is enough. Not too sweet. Many options are available. The seating area is also comfortable. Only, the bingsu presentation was not as expected.","['brownish', 'delicious', 'sweetness', 'enough', 'sweet', 'many', 'option', 'available', 'seat', 'area', 'also', 'comfortable', 'brings', 'presentation', 'expect']"
Faris Danial,25 reviews · 37 photos,4 years ago,"I don't know why there is so much hype about this shop unless the interior is beautiful but the food is average and the dessert is not very sweet, which means it is suitable for the elderly. If you like to eat sweets and want to go to this …","['know', 'much', 'hype', 'shop', 'unless', 'interior', 'beautiful', 'food', 'average', 'dessert', 'sweet', 'mean', 'suitable', 'elderly', 'like', 'eat', 'sweet', 'want', 'go', '…']"
haikal daniel,1 review,4 months ago,"When whatsapp asks if there are cookies. He replied that there is. When I went, I had to wait over an hour because he said he was just going to bake it. We are not close to going there","['whatsapp', 'ask', 'cooky', 'reply', 'go', 'wait', 'hour', 'say', 'go', 'bake', 'close', 'go']"
Farina,12 reviews · 5 photos,4 months ago,"Pistachio Cheese Cup - better frozen, it tastes like ice cream and the sweetness will be a little okay (as per what my friend said) …","['pistachio', 'cheese', 'cup', 'well', 'frozen', 'taste', 'like', 'ice', 'cream', 'sweetness', 'little', 'okay', 'per', 'friend', 'say', '…']"
Hafiz Imran,Local Guide · 19 reviews · 12 photos,a year ago,"Don't buy anything other than dessert. Other things like chicken grill, ramen, rice for me are not worth it. A bit pricey. Even the desserts all taste the same chocolate. If you eat dessert while closing your eyes, you must not know which …","['buy', 'anything', 'dessert', 'thing', 'like', 'chicken', 'grill', 'raven', 'rice', 'worth', 'bit', 'price', 'even', 'desserts', 'taste', 'chocolate', 'eat', 'dessert', 'close', 'eye', 'must', 'know', '…']"
Khaisy 22 (sYuk),Local Guide · 8 reviews · 14 photos,a year ago,"He doesn't just sell desserts. The main course is also there.. it's delicious, it's just the parking lot.. so if you want to come choose the right time.. if it's a little late there must be a lot of people.. the dessert is really …","['sell', 'dessert', 'main', 'course', 'also', 'delicious', 'park', 'lot', 'want', 'come', 'choose', 'right', 'time', 'little', 'late', 'must', 'lot', 'people', 'dessert', 'really', '…']"
muhamad izzuddin johari,11 reviews · 5 photos,a year ago,"Ordered pasta, very slow.. and not tasty.. hard pasta not boiled long enough. When 4 people arrived, one person's food didn't arrive even though the others had finished eating.. & THERE WASN'T ANY WATER... there weren't many people who dined in but it was late 😕😕 …","['order', 'pasta', 'slow', 'tasty', 'hard', 'pasta', 'boil', 'long', 'enough', 'people', 'arrive', 'one', 'person', 'food', 'arrive', 'even', 'though', 'others', 'finish', 'eat', 'water', 'many', 'people', 'die', 'late', '…']"
Faiqah Nur Husna,"Local Guide · 578 reviews · 1,715 photos",2 years ago,"Food is delicious. The parking is a bit strange, because I can't find the door to go up. Limited parking. Worth the money.","['food', 'delicious', 'park', 'bit', 'strange', 'can', 'not', 'find', 'door', 'go', 'limited', 'parking', 'worth', 'money']"
Izzah Syazwani,2 reviews · 1 photo,a year ago,"Desserts are all delicious 👍🏻 . But other food is okay. Toilets are dirty, no hygiene, staff take dessert without gloves or tongs. Chicken with meat should be chopped because you don't have a knife. Meat with chicken is a bit hard. Maybe because it was cooked early. But can eat but still hard. My overall for 7/10 …","['dessert', 'delicious', 'food', 'okay', 'toilet', 'dirty', 'hygiene', 'staff', 'take', 'dessert', 'without', 'glove', 'song', 'chicken', 'meat', 'chop', 'knife', 'meat', 'chicken', 'bit', 'hard', 'maybe', 'cook', 'early', 'eat', 'still', 'hard', 'overall', '…']"
Muhammad Irfan Mohd Shah,10 reviews · 4 photos,7 months ago,"you have to come early if you don't want to wait in line, there are many delicious dessert options 😋👍🏻 …","['come', 'early', 'want', 'wait', 'line', 'many', 'delicious', 'dessert', 'option', '…']"
Nurul Farina binti Mazlan,6 reviews · 3 photos,6 months ago,"I have bought Cake In Bowl and some other desserts.
Alhamdulillah the cake is still soft and moist even though it has been in the fridge. …","['buy', 'cake', 'bowl', 'dessert', 'alhamdulillah', 'cake', 'still', 'soft', 'moist', 'even', 'though', 'fridge', '…']"
faraaa sakinahhh,2 reviews,2 months ago,"Anyone who likes dessert can try it here, I swear it's the best, the service is okay, good, approved 🤩 …","['anyone', 'like', 'dessert', 'try', 'swear', 'best', 'service', 'okay', 'good', 'approve', '…']"
Safa Story,Local Guide · 83 reviews · 9 photos,a year ago,"Baby pancakes 9/10 are really delicious, fluffy & lots of chocolate!! Really recommended callebaut milk chocolate!
Brownies 3/10 the texture of the brownies is a bit dry and more like hard 🫠 But …","['baby', 'pancake', 'really', 'delicious', 'fluffy', 'lot', 'chocolate', 'really', 'recommended', 'callebaut', 'milk', 'chocolate', 'brownish', 'texture', 'brownish', 'bit', 'dry', 'like', 'hard', '…']"
Fatin nadiah Rasuli,7 reviews,7 months ago,"It's delicious but too sweet hahaha, not suitable for people who don't like sweets.. but overall it's ok for raso2.. the milky cookies are very tasty. I like them (forgot what their name is). The brownies are delicious..","['delicious', 'sweet', 'haha', 'suitable', 'people', 'like', 'sweet', 'overall', 'ok', 'ra', 'milky', 'cooky', 'tasty', 'like', 'forgot', 'name', 'brownish', 'delicious']"
Sorfina Zulkafli,8 reviews,7 months ago,"Cake in a bowl is too sweet. Sweet that is balanced with a little bit of cake in the container. I love cakes and sweets but can only eat 2 spoons. Pancakes, brownies n bcc cake so so only. X wow pon. But it's ok to eat desert unless it's on …","['cake', 'bowl', 'sweet', 'sweet', 'balance', 'little', 'bit', 'cake', 'container', 'love', 'cake', 'sweet', 'eat', 'spoon', 'pancake', 'brownish', 'n', 'bcc', 'cake', 'x', 'wow', 'pon', 'ok', 'eat', 'desert', 'unless', '…']"
Anne Aziz,10 reviews · 5 photos,a year ago,"Easy parking in front of the door. But limited. Can park basement too. Desserts are all the best. Food water is delicious. Reasonable price with portions. Staff very friendly and helpful. But always pack weekends, nights. Because it's the …","['easy', 'park', 'front', 'door', 'limit', 'park', 'basement', 'desserts', 'best', 'food', 'water', 'delicious', 'reasonable', 'price', 'portion', 'staff', 'friendly', 'helpful', 'always', 'pack', 'weekend', 'night', '…']"
Afix Anuar,Local Guide · 51 reviews · 108 photos,7 months ago,6th time coming to the store. I have tried all the food and it never disappoints. The most delicious bucket of cookies,"['th', 'time', 'come', 'store', 'try', 'food', 'never', 'disappoint', 'delicious', 'bucket', 'cooky']"
Mira Rahaman,Local Guide · 50 reviews · 22 photos,2 years ago,"the second time I came for dessert.. I was moved to try western-style food here.. but it was very disappointing.. in this rm200++ bill, the dessert and water were delicious.. the rest was very disappointing.. the family combo had plain, dry …","['second', 'time', 'come', 'dessert', 'move', 'try', 'westernstyle', 'food', 'disappoint', 'rm', 'bill', 'dessert', 'water', 'delicious', 'rest', 'disappoint', 'family', 'combo', 'plain', 'dry', '…']"
IZZAH AHWAN,Local Guide · 13 reviews · 28 photos,2 years ago,"The service is not systematic. Fiber counter and a lot of display food. If not available / out of stock better label as not available / oos. When people request to buy that one, it's not available. Make the mood swing and come here. In this …","['service', 'systematic', 'fiber', 'counter', 'lot', 'display', 'food', 'available', 'stock', 'well', 'label', 'available', 'po', 'people', 'request', 'buy', 'one', 'available', 'make', 'mood', 'swing', 'come', '…']"
Raf Lurv,Local Guide · 168 reviews · 62 photos,2 years ago,"Dessert lovers, especially chocolate, please come here. There are brownies, ice cream, waffles, cake, froyo, bingsu, ramen is also available. Willing to drive from Shah Alam just to try this. This store is always full house btw so be a …","['dessert', 'lover', 'especially', 'chocolate', 'please', 'come', 'brownish', 'ice', 'cream', 'wale', 'cake', 'brings', 'raven', 'also', 'available', 'willing', 'drive', 'shah', 'alam', 'try', 'store', 'always', 'full', 'house', 'way', '…']"
Nurul Syifa,Local Guide · 19 reviews · 50 photos,a year ago,"A lot of things are finished, maybe just after the event, I didn't have time to prepare. No chocstick cookies, no pistastick, no choc cheese in a cup. Last bought 2 baby pancakes with 2 Cadbury sticks hmm.. Once in a while I stop on my way from Ipoh to Melaka.","['lot', 'thing', 'finish', 'maybe', 'event', 'time', 'prepare', 'chocstick', 'cooky', 'pistastick', 'hoc', 'cheese', 'cup', 'last', 'buy', 'baby', 'pancake', 'cadbury', 'stick', 'hmm', 'stop', 'way', 'ipo', 'malaga']"
muhamad amir akmal,Local Guide · 25 reviews · 29 photos,5 months ago,"Extremely sweet. It's enough, once in a lifetime","['extremely', 'sweet', 'enough', 'lifetime']"
Hakim Hasnan,3 reviews,6 months ago,"not worth it. The price is expensive, the queue is long but the taste of choc is normal even though I am a dessert lover. Western food 1/10.","['worth', 'price', 'expensive', 'queue', 'long', 'taste', 'hoc', 'normal', 'even', 'though', 'dessert', 'lover', 'western', 'food']"
