username,Past Action,Time,Review,processed
Alya Mysara (Lyaaa),3 reviews · 2 photos,2 months ago,Best dessert at KL. I had the pufflova fruit mix and it was very good. I also wanted to taste the meals or dishes they had but sadly they will open order on 12 p.m. I was at the wrong timing to come there.,"['best', 'dessert', 'kl', 'pufflova', 'fruit', 'mix', 'good', 'also', 'want', 'taste', 'meal', 'dish', 'sadly', 'open', 'order', 'pm', 'wrong', 'timing', 'come']"
ahmad saffian,Local Guide · 373 reviews · 89 photos,a month ago,Too many people. Finally got inside que somemore. Will not come again. All is too sweet for me,"['many', 'people', 'finally', 'get', 'inside', 'que', 'someone', 'come', 'sweet']"
ES Abas,Local Guide · 105 reviews · 731 photos,4 years ago,"Alot of dessert selection. Nice environment,  kids friendly and very good service.  All staff are well train. Every is so friendly 🥰 …","['alot', 'dessert', 'selection', 'nice', 'environment', 'kid', 'friendly', 'good', 'service', 'staff', 'well', 'train', 'every', 'friendly', '…']"
izzat hamid,Local Guide · 169 reviews · 163 photos,9 months ago,"be ready to que for more than 30 minutes and pray that the item you want is still available. The foods is good, but owner should improve their services to reduce waiting time. The cafe design and interior design are both great and beautiful. Btw parking spots are super scarce","['ready', 'que', 'minute', 'pray', 'item', 'want', 'still', 'available', 'food', 'good', 'owner', 'improve', 'service', 'reduce', 'wait', 'time', 'cafe', 'design', 'interior', 'design', 'great', 'beautiful', 'way', 'park', 'spot', 'super', 'scarce']"
Ida MD,Local Guide · 152 reviews · 353 photos,3 years ago,Very pretty place to dine in. The brownies is RM5 per piece and it taste good.,"['pretty', 'place', 'dine', 'brownish', 'rm', 'per', 'piece', 'taste', 'good']"
Azieranikli,Local Guide · 48 reviews · 104 photos,2 years ago,"Food 3/10 : food were almost tasteless.
Drink 5/10 : watermelon sparkles was good.
Ambiance 6/10
Dessert 8/10","['food', 'food', 'almost', 'baseless', 'drink', 'watermelon', 'spark', 'good', 'alliance', 'dessert']"
Mal Mal,1 review · 1 photo,11 months ago,Bad services. The food isn't good as hype. Already paid  but have to wait almost 2 and half for food because of their worst system didn't recognise online payments.,"['bad', 'service', 'food', 'good', 'hype', 'already', 'pay', 'wait', 'almost', 'half', 'food', 'bad', 'system', 'recognise', 'online', 'payment']"
Nur Aisyah Hamzah,1 review · 1 photo,3 years ago,"Very bad experience, i said i was first time here but no one assist at the first place. Second, we were ask to pay eventhough the food wasnt arrived (food). Third, the food ""kambing bakar"" to sweet. …","['bad', 'experience', 'say', 'first', 'time', 'one', 'assist', 'first', 'place', 'second', 'ask', 'pay', 'eventhough', 'food', 'wasnt', 'arrive', 'food', 'third', 'food', 'name', 'baker', 'sweet', '…']"
Ava Davis,3 reviews · 3 photos,11 months ago,"A nice dessert place with lots of options from cheese tarts, cookies, brownies, croissant and my favorite, the cake in a bowl. The price is affordable too. They also have seating area if you're interested to dine at their cafe. …","['nice', 'dessert', 'place', 'lot', 'option', 'cheese', 'art', 'cooky', 'brownish', 'croissant', 'favorite', 'cake', 'bowl', 'price', 'affordable', 'also', 'seat', 'area', 'interested', 'dine', 'cafe', '…']"
Mohd Zulkarnaen,Local Guide · 115 reviews · 42 photos,2 years ago,"Delicious dessert..variety of brownies, cookies and cheese tart you can get there..worth to try","['delicious', 'dessertvariety', 'brownish', 'cooky', 'cheese', 'tart', 'get', 'thereworth', 'try']"
MiDI Pleasant,4 reviews,6 months ago,Ridiculous waiting time. The only good thing I can say is the food. Owner should at least implement a pre-order / numbering system or other similar system to keep the flow of purchasing customers. This batch by batch system is utterly ridiculous.,"['ridiculous', 'wait', 'time', 'good', 'thing', 'say', 'food', 'owner', 'least', 'implement', 'preorder', 'number', 'system', 'similar', 'system', 'keep', 'flow', 'purchasing', 'customer', 'batch', 'batch', 'system', 'utterly', 'ridiculous']"
Zainuddin Yusuf,Local Guide · 12 reviews · 33 photos,8 months ago,Good dessert options but lack of waiting area,"['good', 'dessert', 'option', 'lack', 'wait', 'area']"
Najwa Aqilah,Local Guide · 47 reviews · 109 photos,3 years ago,Dessert shop with some other savory meals as well. Nice place to hangout. Love their mini cheesecakes.,"['dessert', 'shop', 'story', 'meal', 'well', 'nice', 'place', 'hangout', 'love', 'mini', 'cheesecake']"
Zack Kizer,Local Guide · 17 reviews · 6 photos,3 years ago,"Desert is a 10/10 for me if you like sweet things. Nasi ayam portion is kind a small, but the taste is great so im gonna give 8/10.","['desert', 'like', 'sweet', 'thing', 'nasa', 'adam', 'portion', 'kind', 'small', 'taste', 'great', 'im', 'gon', 'na', 'give']"
Amey Lunatic,Local Guide · 18 reviews · 2 photos,4 months ago,Sedap tp overhype je ..nothing wow ..biasa je nyah.. the price range is on the pricier side..,"['sedan', 'tp', 'overhype', 'je', 'nothing', 'wow', 'bias', 'je', 'nya', 'price', 'range', 'price', 'side']"
mdzuraini mdisa,Local Guide · 163 reviews · 377 photos,2 months ago,too sweet,['sweet']
Pieja Adnan,6 reviews,8 months ago,"Suka Dessert products are all good and tasty. However, the management really need to strategise on the long queue. Some of them bring small kids. The queing system totally needs to be improved.","['ska', 'dessert', 'product', 'good', 'tasty', 'however', 'management', 'really', 'need', 'strategy', 'long', 'queue', 'bring', 'small', 'kid', 'use', 'system', 'totally', 'need', 'improved']"
Shahrul Afiszan,Local Guide · 19 reviews · 58 photos,5 months ago,"Ready to spend more then 100 💸💸💸.
🤣🤣🤣
Sweet Memories …","['ready', 'spend', 'sweet', 'memory', '…']"
Riduan bin Saari,7 reviews · 9 photos,a year ago,Nice dessert and place.. but please please please please upgrade your payment method!! I came twice but still the same! Long payment que and it is time wasted!!,"['nice', 'dessert', 'place', 'please', 'please', 'please', 'please', 'upgrade', 'payment', 'method', 'come', 'twice', 'still', 'long', 'payment', 'que', 'time', 'waste']"
daus zafry,5 reviews,a year ago,Order dine in utk iftar around 6.10pm and in system approved order Tapi my wife punya food tak baca dalam system. We wait until 7.40 pm then we ask staff to check back system tngok2 mmg tak masuk dalam system. Makanan bagus tapi system …,"['order', 'dine', 'utc', 'around', 'pm', 'system', 'approve', 'order', 'tape', 'wife', 'punk', 'food', 'tak', 'back', 'dalam', 'system', 'wait', 'pm', 'ask', 'staff', 'check', 'back', 'system', 'take', 'mm', 'tak', 'mask', 'dalam', 'system', 'makanan', 'bag', 'tape', 'system', '…']"
Kacang Panjang,7 reviews · 4 photos,7 months ago,The food is good. Coklat tak muak,"['food', 'good', 'combat', 'tak', 'musk']"
Zaty Zamri,14 reviews · 25 photos,7 months ago,"The worst customer service. waiting for almost 1hour at outside the cafe. then q for another 40 min for ordering the food inside cafe, lack of management…Besides, the food served very late  . the price so so spend around 400 here","['worst', 'customer', 'service', 'wait', 'almost', 'hour', 'outside', 'cafe', 'q', 'another', 'min', 'order', 'food', 'inside', 'cafe', 'lack', 'management…besides', 'food', 'serve', 'late', 'price', 'spend', 'around']"
Suhaima Zabawi,Local Guide · 49 reviews · 43 photos,2 years ago,all the foods were soo good for those who love chocolate. just love their quotes for OCD - Obsessive Chocolate Disorder 😂 …,"['food', 'soo', 'good', 'love', 'chocolate', 'love', 'quote', 'old', 'obsessive', 'chocolate', 'disorder', '…']"
NUR IFFAH,Local Guide · 40 reviews · 190 photos,a year ago,"The food is nice, the savoury dishes are not that impressive, but it's nice. Their dessert however, is very good. I especially like their rolled ice cream, it's very delicious. The place can get quite crowded during peak hours, but you can still find a table.","['food', 'nice', 'favour', 'dish', 'impressive', 'nice', 'dessert', 'however', 'good', 'especially', 'like', 'roll', 'ice', 'cream', 'delicious', 'place', 'get', 'quite', 'crowded', 'peak', 'hour', 'still', 'find', 'table']"
Estheria Light,9 reviews,10 months ago,"Well I've been here quite many times since I'm a sweet tooth. I always go for their Cake In Bowl (8/10) and Oval Cookies (9/10). The taste is not bad, nothing I've never taste before but it was good. What's annoying is, some of the dessert …","['well', 'quite', 'many', 'time', 'since', 'sweet', 'tooth', 'always', 'go', 'cake', 'bowl', 'oval', 'cooky', 'taste', 'bad', 'nothing', 'never', 'taste', 'good', 'annoy', 'dessert', '…']"
mzzy b,8 reviews · 1 photo,10 months ago,"Unpopular opinion: OVER-HYPED and OVER-RATED.

Did the long-distance travel, the ridiculous queueing (TWICE) - one for payment …","['unpopular', 'opinion', 'overhyped', 'operated', 'longdistance', 'travel', 'ridiculous', 'queue', 'twice', 'one', 'payment', '…']"
Malliga Sithambaram,Local Guide · 105 reviews · 142 photos,2 years ago,Best place to hunt chocolate based pastries. Love the pure chocolate cookies. Lots of choices of brownies. Roll ice cream and pancake available after 12 noon.,"['best', 'place', 'hunt', 'chocolate', 'base', 'pastry', 'love', 'pure', 'chocolate', 'cooky', 'lot', 'choice', 'brownish', 'roll', 'ice', 'cream', 'pancake', 'available', 'noon']"
LET'S GO PLAYS,"291 reviews · 1,847 photos",2 years ago,Highly recommended! Mix of Malaysian food and desserts!,"['highly', 'recommended', 'mix', 'malaysian', 'food', 'dessert']"
sarah yehet,Local Guide · 56 reviews · 159 photos,10 months ago,"i arrived at 10.30am on public holiday, que for like 30minutes to enter the store. …","['arrive', 'public', 'holiday', 'que', 'like', 'minute', 'enter', 'store', '…']"
Puteri farzana,Local Guide · 9 reviews · 7 photos,a year ago,"Lack of managing the cafe, let the customers wait outside way too long. Management aren’t quite responsible on handling customers. Need more spacious dining for all the diners. People loves the food but, if the cafe cant manage very well, unwisely to buy again..I've been there 3 times. It still look uncomprehending of management!!","['lack', 'manage', 'cafe', 'let', 'customer', 'wait', 'outside', 'way', 'long', 'management', 'aren', '’', 't', 'quite', 'responsible', 'handle', 'customer', 'need', 'spacious', 'din', 'diner', 'people', 'love', 'food', 'cafe', 'cant', 'manage', 'well', 'unlikely', 'buy', 'time', 'still', 'look', 'uncomprehending', 'management']"
DIANA TAMILVANAN,2 reviews,a year ago,"Overall I’m totally very satisfied with the workers job here especially I would like to highlight an employee name here which is “DANIEL” who today when I was here, he was in cashiers counter.. Such a humble and helpful person Daniel.. …","['overall', 'i', '’', 'm', 'totally', 'satisfied', 'worker', 'job', 'especially', 'would', 'like', 'highlight', 'employee', 'name', '“', 'daniel', '”', 'today', 'cashier', 'counter', 'humble', 'helpful', 'person', 'daniel', '…']"
zila md,Local Guide · 23 reviews · 13 photos,3 years ago,"In love with the ice cream taste, pastry & all food there. Will repeat again soon. Thanks Chef😘😘😘 …","['love', 'ice', 'cream', 'taste', 'pastry', 'food', 'repeat', 'soon', 'thanks', 'chef', '…']"
Annushaa Mercy,1 review,10 months ago,"The dessert shop offers main dishes and beverages, but they don't have bottled mineral water or warm water. Additionally, their air conditioning is inadequate. It's not worth the time and effort.","['dessert', 'shop', 'offer', 'main', 'dish', 'beverage', 'bottle', 'mineral', 'water', 'warm', 'water', 'additionally', 'air', 'condition', 'inadequate', 'worth', 'time', 'effort']"
miq jamil,8 reviews · 2 photos,9 months ago,super slow service by the cashier.. should have just taken minutes to pack the food. not sure if he is tired or having Friday blues .. but please you wasting customer time by taking your own sweet time when packing the food. …,"['super', 'slow', 'service', 'cashier', 'take', 'minute', 'pack', 'food', 'sure', 'tire', 'friday', 'blue', 'please', 'waste', 'customer', 'time', 'take', 'sweet', 'time', 'pack', 'food', '…']"
Ahmad Za'aim Md Suhaimi,3 reviews · 2 photos,10 months ago,"One of the female staff very rude. If you don't know how to treat customer, dont work in customer service industry. Management need to look at it seriously. Customers had to queue for more than one hours to get their food, so please treat them with nice manner.","['one', 'female', 'staff', 'rude', 'know', 'treat', 'customer', 'dont', 'work', 'customer', 'service', 'industry', 'management', 'need', 'look', 'seriously', 'customer', 'queue', 'one', 'hour', 'get', 'food', 'please', 'treat', 'nice', 'manner']"
Nur Lin,Local Guide · 21 reviews · 30 photos,5 years ago,"Plenty of choice, clean and tidy cafe, with nice choclate aroma, muslim product","['plenty', 'choice', 'clean', 'tidy', 'cafe', 'nice', 'chocolate', 'aroma', 'muslim', 'product']"
Bulya Hakimi,Local Guide · 34 reviews · 13 photos,9 months ago,"is overrated. need to come early (before 6pm) to try out the best selling desserts like cake in bowl and soft cookies. need to park underground and walk a bit to the shop. shop is small and crowded. no clear instruction/sign where to pay, how to order etc.","['operate', 'need', 'come', 'early', 'pm', 'try', 'best', 'sell', 'dessert', 'like', 'cake', 'bowl', 'soft', 'cooky', 'need', 'park', 'underground', 'walk', 'bit', 'shop', 'shop', 'small', 'crowd', 'clear', 'instructionsign', 'pay', 'order', 'etc']"
Abid Zaman,Local Guide · 14 reviews · 12 photos,a year ago,Very good food. Staff are very friendly.,"['good', 'food', 'staff', 'friendly']"
Haida Hairunisa,Local Guide · 27 reviews · 58 photos,9 months ago,Beratur panjang tpi worth😍 love their cheese in a cup …,"['beratur', 'panjang', 'ti', 'worth', 'love', 'cheese', 'cup', '…']"
A A,7 reviews · 2 photos,a year ago,Bad experience with the whatsapp support today just trying to order the Raya box. Suggest to think about resourcing and ability to serve customers promptly if you’re really serious about the business. Don’t create a business if you’re …,"['bad', 'experience', 'whatsapp', 'support', 'today', 'try', 'order', 'ray', 'box', 'suggest', 'think', 'source', 'ability', 'serve', 'customer', 'promptly', 'you', '’', 're', 'really', 'serious', 'business', 'don', '’', 't', 'create', 'business', 'you', '’', 're', '…']"
Siti Azlizah,Local Guide · 38 reviews · 68 photos,a year ago,Those who don't like too sweet dessert like me can still go there just need to choose carefully.,"['like', 'sweet', 'dessert', 'like', 'still', 'go', 'need', 'choose', 'carefully']"
Hamba Allah,Local Guide · 10 reviews · 5 photos,4 months ago,"Parking easy, in morning not many people :) during weekdays","['park', 'easy', 'morning', 'many', 'people', 'weekday']"
Alan Razali,Local Guide · 217 reviews · 145 photos,2 months ago,"Cake in bowl
The cake is delicious but the chocolate liquid on top is overly sweet and massive …","['cake', 'bowl', 'cake', 'delicious', 'chocolate', 'liquid', 'top', 'overly', 'sweet', 'massive', '…']"
Sabrina Rashid,8 reviews · 10 photos,a year ago,"Review a++ from tiktok ofcos u expect ramai orang datang but pls renovate ur shop to a bigger one. Orang lambat tapi service slow sangat kecewa. Had to wait for 1 hour prolly more than that, never come here again sorry. Support other vendor next time","['review', 'tiktok', 'focus', 'u', 'expect', 'rama', 'orange', 'date', 'pls', 'renovate', 'ur', 'shop', 'big', 'one', 'orange', 'combat', 'tape', 'service', 'slow', 'manga', 'kecewa', 'wait', 'hour', 'poll', 'never', 'come', 'sorry', 'support', 'vendor', 'next', 'time']"
Shi,Local Guide · 73 reviews · 13 photos,6 months ago,"desert where only suitable for malays people
sweetness level: 1000/10, eat if u want to potong kaki
price also expensive for such normal dessert","['desert', 'suitable', 'always', 'people', 'sweetness', 'level', 'eat', 'u', 'want', 'vote', 'kai', 'price', 'also', 'expensive', 'normal', 'dessert']"
Lynn Fadzil,5 reviews,a year ago,"Earlier today, I arrived at SD at 9:45pm and I wanted to order the signature Chocolate Cheese but the worker said that they already closed order. I thought you guys are closed 10pm. If someone can make it clear that closing at 10pm means I can still order a takeout at 9:45pm right?","['earlier', 'today', 'arrive', 'sd', 'pm', 'want', 'order', 'signature', 'chocolate', 'cheese', 'worker', 'say', 'already', 'close', 'order', 'thought', 'guy', 'close', 'pm', 'someone', 'make', 'clear', 'closing', 'pm', 'mean', 'still', 'order', 'takeoff', 'pm', 'right']"
levia 1211,9 reviews · 2 photos,11 months ago,". Well, from what I've gathered, some of the complaints in the bad reviews were about the desserts being too sweet, lacking flavor, and having a dry texture. Price is okay but the taste wasn’t okay ! Not worth . But the environment was nice .","['well', 'gathered', 'complaint', 'bad', 'review', 'dessert', 'sweet', 'lack', 'flavor', 'dry', 'texture', 'price', 'okay', 'taste', 'wasn', '’', 't', 'okay', 'worth', 'environment', 'nice']"
Claire Dunne,4 reviews,a year ago,"Im gonna be blunt ,Im an avid dessert lover but suka dessert is worst of them all. This will be the first and the last for me …","['im', 'gon', 'na', 'blunt', 'im', 'avid', 'dessert', 'lover', 'ska', 'dessert', 'bad', 'first', 'last', '…']"
Azri Sulaiman,Local Guide · 63 reviews,a year ago,"Various kinds of innovative desserts, my recommendation being the Pista-Cheese Cup. Starting from 12 noon, you'll have access to heavy meals so you don't have to opt for another diner. However, the place started to get crowded i.e., you'll …","['various', 'kind', 'innovative', 'dessert', 'recommendation', 'pistacheese', 'cup', 'start', 'noon', 'access', 'heavy', 'meal', 'opt', 'another', 'diner', 'however', 'place', 'start', 'get', 'crowd', 'ie', '…']"
Anis Suhana Hashim,6 reviews,a year ago,"Suka Dessert - a dessert cafe with Chow Kit Market vibes when you literally eating with tons of people queing beside you the whole time.
Ambience is unpleasant with dirty washroom and well as general surroundings. …","['ska', 'dessert', 'dessert', 'cafe', 'chow', 'kit', 'market', 'vibes', 'literally', 'eating', 'ton', 'people', 'use', 'beside', 'whole', 'time', 'audience', 'unpleasant', 'dirty', 'bathroom', 'well', 'general', 'surroundings', '…']"
Nurfaraheen Ajwa,9 reviews · 6 photos,3 years ago,Arrived at peak hour so it was a full house. I got no problem at all to wait but there’s no staff entertain us so we had to stand beside the cashier like a dumb. Sebab fikir datang jauh2 kalau tak mmg dah keluar. So that part takpalah Im …,"['arrive', 'peak', 'hour', 'full', 'house', 'get', 'problem', 'wait', 'there', '’', 's', 'staff', 'entertain', 'u', 'stand', 'beside', 'cashier', 'like', 'dumb', 'kebab', 'wiki', 'date', 'math', 'kala', 'tak', 'mm', 'dah', 'cellar', 'part', 'takpalah', 'im', '…']"
